instance,n,m,OS,H1_Greedy_CT,H1_Greedy_gap%,H1_Greedy_time_s,H2_SA_CT,H2_SA_gap%,H2_SA_time_s,H3_GA_CT,H3_GA_gap%,H3_GA_time_s,CT_star
instance_n=20_1.alb,20,3,0.268,1311.0,36.2786,0.0,980.0,1.8711,0.0096,986.0,2.4948,1.3149,962
instance_n=20_2.alb,20,3,0.3,2579.0,170.3354,0.0001,961.0,0.7338,0.01,966.0,1.2579,1.378,954
instance_n=20_3.alb,20,3,0.3,2211.0,137.7419,0.0001,936.0,0.6452,0.0097,939.0,0.9677,1.3594,930
instance_n=20_4.alb,20,3,0.289,2185.0,140.374,0.0001,942.0,3.6304,0.0098,913.0,0.44,1.3484,909
instance_n=20_5.alb,20,3,0.289,2499.0,163.0526,0.0,963.0,1.3684,0.0097,963.0,1.3684,1.3648,950
instance_n=20_6.alb,20,3,0.295,1942.0,99.5889,0.0,982.0,0.925,0.0099,978.0,0.5139,1.3891,973
instance_n=20_7.alb,20,3,0.3,1541.0,65.6989,0.0,947.0,1.828,0.0098,937.0,0.7527,1.3515,930
instance_n=20_8.alb,20,3,0.289,2724.0,173.494,0.0001,1005.0,0.9036,0.01,999.0,0.3012,1.401,996
instance_n=20_9.alb,20,3,0.289,1886.0,93.2377,0.0001,1001.0,2.5615,0.0098,982.0,0.6148,1.3729,976
instance_n=20_10.alb,20,3,0.279,2187.0,131.4286,0.0,971.0,2.7513,0.0095,964.0,2.0106,1.3394,945
instance_n=20_11.alb,20,3,0.279,2184.0,136.3636,0.0,932.0,0.8658,0.0098,926.0,0.2165,1.3505,924
instance_n=20_12.alb,20,3,0.3,2232.0,128.4545,0.0,995.0,1.8424,0.0097,987.0,1.0235,1.3511,977
instance_n=20_13.alb,20,3,0.268,2212.0,128.7487,0.0,982.0,1.5512,0.0095,969.0,0.2068,1.3434,967
instance_n=20_14.alb,20,3,0.263,2315.0,132.8974,0.0001,1010.0,1.6097,0.0095,1005.0,1.1066,1.3303,994
instance_n=20_15.alb,20,3,0.295,2535.0,155.0302,0.0,1036.0,4.2254,0.0097,1012.0,1.8109,1.3501,994
instance_n=20_16.alb,20,12,0.232,2844.0,189.9083,0.0001,1088.0,10.9072,0.0111,1062.0,8.2569,1.4453,981
instance_n=20_17.alb,20,10,0.295,4083.0,321.3622,0.0001,1133.0,16.9247,0.0108,1128.0,16.4087,1.423,969
instance_n=20_18.alb,20,11,0.3,1953.0,103.4375,0.0001,1055.0,9.8958,0.0116,1023.0,6.5625,1.518,960
instance_n=20_19.alb,20,14,0.268,2319.0,131.9,0.0001,1110.0,11.0,0.0114,1110.0,11.0,1.4933,1000
instance_n=20_20.alb,20,11,0.295,2096.0,109.6,0.0001,1035.0,3.5,0.0115,1047.0,4.7,1.5175,1000
instance_n=50_1.alb,50,8,0.196,5047.0,454.6154,0.0002,1116.0,22.6374,0.0237,1019.0,11.978,4.8972,910
instance_n=50_2.alb,50,6,0.195,2047.0,119.8711,0.0002,955.0,2.5779,0.0253,938.0,0.7519,4.7171,931
instance_n=100_1.alb,100,23,0.196,10557.0,N/A,0.0006,2753.0,N/A,0.0477,2068.0,N/A,13.9024,N/A
instance_n=100_2.alb,100,21,0.195,11818.0,N/A,0.0006,3321.0,N/A,0.0455,1533.0,N/A,13.8996,N/A
